date,code,side,shares,price,notional,fees,status,reason
2026-01-05,001389.XSHE,sell,1700,81.49923000000001,138548.69100000002,112.22443971000001,filled,
2026-01-05,300684.XSHE,sell,300,49.345315,14803.5945,12.549833195,filled,
2026-01-05,301031.XSHE,sell,100,75.82207,7582.206999999999,8.86692557,filled,
2026-01-05,301479.XSHE,buy,100,61.760864999999995,6176.086499999999,5.061760865,filled,
2026-01-05,603629.XSHG,buy,200,19.02951,3805.9019999999996,5.03805902,filled,
2026-01-05,600571.XSHG,buy,500,15.917955,7958.9775,5.079589775,filled,
2026-01-05,600666.XSHG,buy,4500,3.371685,15172.582499999999,5.151725825,filled,
2026-01-05,600654.XSHG,buy,3800,3.8018999999999994,14447.219999999998,5.1444722,filled,
2026-01-05,301606.XSHE,buy,2100,58.139055,122092.0155,37.848524805,filled,
2026-02-02,301031.XSHE,sell,200,97.40127500000001,19480.255,15.77900655,filled,
2026-02-02,301606.XSHE,sell,200,74.032965,14806.593,12.551362430000001,filled,
2026-02-02,603629.XSHG,sell,1700,29.245370000000005,49717.12900000001,40.270874490000004,filled,
2026-02-02,301479.XSHE,buy,300,60.700334999999995,18210.1005,5.645131155,filled,
2026-02-02,300508.XSHE,buy,100,40.380179999999996,4038.0179999999996,5.04038018,filled,
2026-02-02,600571.XSHG,buy,1100,15.86793,17454.722999999998,5.410964129999999,filled,
2026-02-02,600666.XSHG,buy,3300,3.50175,11555.775,5.11555775,filled,
2026-02-02,600654.XSHG,buy,3900,3.8419199999999996,14983.487999999998,5.14983488,filled,
2026-02-02,688093.XSHG,buy,300,37.29864,11189.592,5.11189592,filled,
2026-03-02,300508.XSHE,sell,300,45.13742,13541.225999999999,11.90602526,filled,
2026-03-02,301031.XSHE,sell,1400,97.25135,136151.89,110.2830309,filled,
2026-03-02,600666.XSHG,sell,2500,3.91804,9795.1,9.995501,filled,
2026-03-02,603629.XSHG,sell,1200,40.529725,48635.67,39.3948927,filled,
2026-03-02,600571.XSHG,buy,500,15.657824999999999,7828.912499999999,5.078289125,filled,
2026-03-02,600654.XSHG,buy,3000,3.731865,11195.595,5.11195595,filled,
2026-03-02,688093.XSHG,buy,300,36.79839,11039.517,5.11039517,filled,
2026-03-02,301606.XSHE,buy,300,66.44320499999999,19932.961499999998,6.179218064999999,filled,
2026-03-02,300684.XSHE,buy,100,55.80789,5580.789,5.05580789,filled,
2026-03-02,688100.XSHG,buy,3500,41.780879999999996,146233.08,45.33225479999999,filled,
2026-04-01,300508.XSHE,sell,3200,36.06196,115398.272,93.47260032,filled,
2026-04-01,301479.XSHE,sell,100,63.987989999999996,6398.799,8.26338749,filled,
2026-04-01,301606.XSHE,sell,100,68.46575,6846.575,8.491753249999999,filled,
2026-04-01,600666.XSHG,sell,37800,5.91704,223664.112,181.16793072,filled,
2026-04-01,603629.XSHG,sell,3600,46.59669,167748.084,135.87594804,filled,
2026-04-01,688100.XSHG,sell,3500,36.761610000000005,128665.63500000001,104.21916435,filled,
2026-04-01,600571.XSHG,buy,1500,13.356675,20035.012499999997,6.210853874999999,filled,
2026-04-01,300711.XSHE,buy,5900,24.782384999999998,146216.0715,45.326982165,filled,
2026-04-01,600654.XSHG,buy,3300,3.4016999999999995,11225.609999999999,5.1122561,filled,
2026-04-01,301153.XSHE,buy,5900,24.702345,145743.83550000002,45.180589005,filled,
2026-04-01,688093.XSHG,buy,700,30.905445,21633.8115,6.706481565,filled,
2026-04-01,301031.XSHE,buy,1500,94.78737,142181.055,44.07612705,filled,
2026-04-01,300684.XSHE,buy,400,48.4242,19369.68,6.0046007999999995,filled,
2026-04-01,603039.XSHG,buy,3900,36.828405000000004,143630.7795,44.525541645,filled,
2026-05-06,300684.XSHE,sell,3000,54.522725,163568.17500000002,132.49022175000002,filled,
2026-05-06,300711.XSHE,sell,5900,20.779605,122599.6695,99.305732295,filled,
2026-05-06,301031.XSHE,sell,100,108.67563500000001,10867.563500000002,10.542457385000002,filled,
2026-05-06,301153.XSHE,sell,5900,20.839575000000004,122953.49250000002,99.59232892500002,filled,
2026-05-06,301479.XSHE,sell,2200,85.307325,187676.11500000002,152.01765315,filled,
2026-05-06,301606.XSHE,sell,100,75.5622,7556.22,8.8536722,filled,
2026-05-06,600571.XSHG,sell,10900,12.643675000000002,137816.05750000002,111.63100657500001,filled,
2026-05-06,600654.XSHG,sell,43000,3.9580200000000003,170194.86000000002,137.8578366,filled,
2026-05-06,603039.XSHG,sell,3900,38.390795,149724.1005,121.27652140499998,filled,
2026-05-06,688093.XSHG,sell,4700,32.413785000000004,152344.7895,123.39927949500002,filled,
2026-05-06,600455.XSHG,buy,5400,28.514249999999997,153976.94999999998,47.73285449999999,filled,
2026-05-06,300743.XSHE,buy,8100,18.909449999999996,153166.54499999995,47.48162894999998,filled,
2026-05-06,300042.XSHE,buy,2700,56.598285,152815.3695,47.372764544999995,filled,
2026-05-06,688615.XSHG,buy,1100,138.069,151875.9,47.081528999999996,filled,
2026-05-06,300628.XSHE,buy,4300,35.447714999999995,152425.1745,47.251804095,filled,
2026-05-06,002636.XSHE,buy,3400,45.492734999999996,154675.299,47.949342689999995,filled,
2026-05-06,688188.XSHG,buy,1500,100.38016499999999,150570.2475,46.676776724999996,filled,
2026-05-06,688019.XSHG,buy,700,199.73981999999998,139817.87399999998,43.34354093999999,filled,
